Player Name 	 Team 	 Position 	 ECR 	 Best Rank 	 Worst Rank 	 Ave Rank 	 Std Dev 	 ADP 	 				
Miguel Cabrera	DET	3B	1	1	8	1.9	1.1	1	 				
Ryan Braun	MIL	LF	2	1	4	2	0.9	3	 				
Mike Trout	LAA	LF	CF	3	1	7	2.5	1.3	2	 			
Robinson Cano	NYY	2B	4	3	13	5.4	2	4	 				
Matt Kemp	LAD	CF	5	1	15	5.9	2.6	5	 				
Albert Pujols	LAA	1B	DH	6	3	13	7.5	2.1	6	 			
Joey Votto	CIN	1B	7	4	31	7.5	3.9	8	 				
Andrew McCutchen	PIT	CF	8	3	25	8	4	7	 				
Prince Fielder	DET	1B	9	4	24	9.8	4.2	11	 				
Carlos Gonzalez	COL	LF	10	3	25	9.9	3.7	9	 				
Justin Verlander	DET	SP	11	6	26	12.9	3.7	10	 				
Clayton Kershaw	LAD	SP	12	7	39	14.6	5.8	12	 				
Giancarlo Stanton	MIA	RF	13	7	74	15.8	10.9	14	 				
Jose Bautista	TOR	RF	LF	14	8	41	16.4	6.7	16	 			
Troy Tulowitzki	COL	SS	15	9	39	17.1	5.5	13	 				
Josh Hamilton	LAA	LF	CF	16	6	34	18.3	6.1	17	 			
Stephen Strasburg	WSH	SP	17	10	32	19.2	5.6	18	 				
Adrian Beltre	TEX	3B	DH	18	13	31	19.2	4.3	20	 			
Evan Longoria	TB	3B	DH	19	12	86	21.9	10.1	22	 			
Justin Upton	ATL	RF	20	6	87	22.2	12.7	19	 				
Jose Reyes	TOR	SS	21	12	41	22.9	6.3	21	 				
David Price	TB	SP	22	12	42	24.3	6.8	24	 				
Dustin Pedroia	BOS	2B	23	16	54	26.9	7.2	25	 				
David Wright	NYM	3B	24	5	101	28.1	15.3	26	 				
Ian Kinsler	TEX	2B	25	17	60	28.6	8.7	28	 				
Edwin Encarnacion	TOR	1B	DH	26	11	50	28.8	8.5	30	 			
Jason Heyward	ATL	RF	27	13	99	29	12.8	29	 				
Felix Hernandez	SEA	SP	28	12	81	29.4	11.2	27	 				
Bryce Harper	WSH	LF	CF	RF	29	10	102	30.4	14	23	 		
Buster Posey	SF	C	1B	30	11	82	31	13.5	15	 			
Adam Jones	BAL	CF	31	10	54	32.1	8.5	31	 				
Cole Hamels	PHI	SP	32	14	66	33.6	8.6	32	 				
Adrian Gonzalez	LAD	1B	RF	33	16	67	35.6	11.2	33	 			
Matt Cain	SF	SP	34	19	58	35.6	7.5	38	 				
Cliff Lee	PHI	SP	35	10	58	36.9	8.1	34	 				
Jay Bruce	CIN	RF	36	23	105	38.9	12.5	35	 				
Starlin Castro	CHC	SS	37	23	76	39.1	12.7	36	 				
Matt Holliday	STL	LF	38	20	80	39.6	9.7	47	 				
Jacoby Ellsbury	BOS	CF	39	13	79	40.5	12.1	40	 				
Yoenis Cespedes	OAK	LF	CF	DH	40	14	128	40.9	16.7	43	 		
Ryan Zimmerman	WSH	3B	41	15	140	43.7	19.8	42	 				
Billy Butler	KC	1B	DH	42	17	75	44.9	11.4	44	 			
Jered Weaver	LAA	SP	43	20	82	45.9	14.1	39	 				
Paul Goldschmidt	ARI	1B	44	19	86	48.7	15.3	46	 				
Madison Bumgarner	SF	SP	45	22	87	50	11.3	54	 				
B.J. Upton	ATL	CF	46	27	123	50.7	16	49	 				
Allen Craig	STL	1B	LF	RF	47	28	92	51.6	13.9	45	 		
Gio Gonzalez	WSH	SP	48	15	90	51.9	12.7	52	 				
CC Sabathia	NYY	SP	49	22	89	52.2	12	55	 				
Craig Kimbrel	ATL	RP	50	27	90	53.7	11.8	37	 				
Adam Wainwright	STL	SP	51	37	89	53.8	11.3	50	 				
R.A. Dickey	TOR	SP	52	26	104	56.4	16.1	58	 				
Yu Darvish	TEX	SP	53	27	107	57.3	15.5	51	 				
Ben Zobrist	TB	2B	SS	RF	54	29	120	57.3	17	57	 		
Chris Sale	CWS	SP	55	31	96	59.6	12.7	63	 				
Zack Greinke	LAD	SP	56	31	192	61.3	26.6	61	 				
Aramis Ramirez	MIL	3B	57	32	99	61.4	13.1	66	 				
Brandon Phillips	CIN	2B	58	28	134	62.5	17.9	62	 				
Ian Desmond	WSH	SS	59	29	162	65.1	19.6	65	 				
Jason Kipnis	CLE	2B	60	32	133	66.8	18.1	59	 				
Freddie Freeman	ATL	1B	61	37	99	67.6	14	68	 				
Joe Mauer	MIN	C	1B	DH	62	32	114	68.3	19.8	48	 		
Johnny Cueto	CIN	SP	63	42	118	69.5	15.3	71	 				
Aaron Hill	ARI	2B	64	24	97	69.5	14.5	70	 				
Max Scherzer	DET	SP	65	35	114	70.6	17.7	74	 				
Mat Latos	CIN	SP	66	38	125	71.5	16.5	83	 				
Jimmy Rollins	PHI	SS	67	41	150	73.4	23	75	 				
Alex Rios	CWS	RF	CF	68	46	106	73.8	11.7	79	 			
Brett Lawrie	TOR	3B	69	26	191	74.1	29.6	87	 				
Shin-Soo Choo	CIN	RF	70	34	155	74.6	21	85	 				
Pablo Sandoval	SF	3B	71	31	212	76.1	29.4	97	 				
