Gilbert	Steve	David	WolfMatt	Corbin	Lou	Franks	Fisher	Josh	Cameron
Starlin Castro	Carlos Santana	Sonny Gray	Pablo Sandoval	Jordan Zimmermann	Josh Hamilton	Jayson Werth	Danny Salazar	Brandon Phillips	J.J. Hardy
Mike Minor	Chris Archer	Desmond Jennings	Wilin Rosario	Brandon Belt	Brian McCann	Coco Crisp	Brandon Moss	Shane Victorino	Brad Miller
Domonic Brown	Kyle Seager	Craig Kimbrel	Hyun-jin Ryu	Austin Jackson	Francisco Liriano	Cole Hamels	Khris Davis	Mike Napoli	Martin Prado
CC Sabathia	Alex Wood	Trevor Rosenthal	Alfonso Soriano	Tony Cingrani	Daniel Murphy	Leonys Martin	Asdrubal Cabrera	Aroldis Chapman	Lance Lynn
Hiroki Kuroda	Anthony Rendon	Curtis Granderson	Aaron Hill	Doug Fister	Brett Gardner	Adam Eaton	Jeff Samardzija	Jhonny Peralta	Ubaldo Jimenez
Justin Masterson	Chris Carter	Jonathan Lucroy	Andrew Cashner	Norichika Aoki	Greg Holland	Mike Moustakas	Will Venable	Johnny Cueto	Carl Crawford
R.A. Dickey	Colby Rasmus	David Robertson	Torii Hunter	Michael Brantley	C.J. Wilson	Matt Wieters	A.J. Burnett	Michael Bourn	Denard Span
Nick Castellanos	Tyson Ross	Alejandro De Aza	Jonathan Villar	Josh Reddick	Jed Lowrie	Clay Buchholz	Matt Garza	Chase Headley	Salvador Perez
Joakim Soria	Dexter Fowler	Matt Harvey	Jason Grilli	Chris Johnson	Marlon Byrd	Addison Reed	Corey Kluber	Glen Perkins	Rex Brothers
Joe Nathan	Barolo Calon	Evan Gattis	Victor Martinez	Tommy Hunter	Grant Balfour	Yovani Gallardo	Dan Haren	Steve Cishek	Cody Allen
Derek Jeter	Dee Gordon	Ernesto Frieri	Nick Swisher	Alexei Ramirez	Howie Kendrick	Will Middlebrooks	Oswaldo Arcia	Brian Wilson	Brian Dozier
Chris Tillman	Tim Hudson	Sergio Romo	Scott Kazmir	Ricky Nolasco	Fernando Rodney	Angel Pagan	Neil Walker	Casey Janssen	Derek Holland
Ervin Santana	Tanner Scheppers	Daniel Nava	Masahiro Tanaka	Dillon Gee	Nate McLouth	Drew Smyly	Jake Peavy	Jim Henderon	Joaquin Benoit
Justin Morneau	Justin Smoak	Wil Myers			Adam Dunn	David Freese	Jose Fernandez	Huston Street	Jose Abreu
Tyler Clippard	Billy Hamilton	Xander Bogaerts	Julio Teheran	Devin Mesoraco	Michael Pineda	Kevin Gausman	Zach Wheeler	B.J. Upton	Nolan Arenado
